Word,Meaning
youth,"젊은, 청춘"
increase,"증가하다, 증가"
ceremony,"의식, 식"
pray,"빌달, 기도하다"
system,"조직, 체계, 제도"
when,"언제, ~할 때"
tomb,"무덤, 묘"
invade,침입하다
respect,"존경하다, 존중하다"
circle,"원, 집단, 회전하다"
wisdom,지혜
relax,"늦추다, 쉬다"
treasure,"보물, 보배"
stretch,잡아 늘이다. 뻗다
notice,"주의, 통지, 알아차리다"
ancestor,"조상, 선조"
subject,"학과, 과목, 주제"
prefer,~을 더 좋아하다
responsible,책임이 있는
kind,종류
pretty,"꽤, 상당히, 예쁜"
free,"한가한, 무료의"
about,"대략, 약, ~에 대하여"
time,(복수형으로)~회
like,"~같이, ~처럼"
story,"이야기, (건물)층"
park,"공원, 주차하다"
fall,"가을, (~s)폭포"
watch,"보다, 지켜보다"
bear,"낳다, 참다, 곰"
miss,"놓치다, 그리워하다"
safe,"안전한, 금고"
end,"목적, 끝나다"
store,"상점, 저장하다"
party,"일행, 정당, 파티"
draw,당기다. 그리다
race,"경주, 인종, 민족"
case,"경 경우, 사건, 상자"
have,먹다. 갖고 있다
match,"시합, 성냥, 어울리다"
rest,"휴식, (the~)나머지"
bank,"둑, 제방, 은행"
gift,"선물, 재능"
spring,"봄, 샘, 용수철"
lie,눕다. ~이 있다. 거짓말하다
blue,"우울한, 파란"
check,"수표, 점검하다"
fair,"공평한, 꽤 많은"
company,"친구, 사귐, 회사"
touch,"감동시키다, 접촉"
plant,"식물, 공장, 심다"
for,"~동안, ~을 위하여"
fine,"훌륭한, 벌금"
take,"타다, 잡다"
present,"선물, 현재, 참석한"
by,~에 의하여
work,"일, 작품"
right,"옳은, 권리, 오른쪽의"
face,"직면하다, 표면"
cross,"가로지르다, 십자가"
back,"등, 뒤로"
country,"국가, (the~)시골"
or,"그렇지 않으면, 혹은"
leave,"남기다, 떠나다"
hard,"어려운, 심하게"
place,"장소, 위치, ~을 놓다"
land,"상륙하다, 육지"
dear,"친애하는, 값비싼"
chance,"기회, 운, 우연"
ring,"울리다, 반지"
wrong,"나쁜, 틀린"
round,"~의 주위에, 둥근"
glass,"유리, (~es)안경"
every,"모든, ~마다"
lesson,"수업, 교훈, 과(課)"
either,~도 또한 ...하지 않다
letter,"편지, 문자"
around,"~주위에, 약, ~쯤"
station,"역, 서(暑), 국(局)"
over,"~이상, 끝나고"
still,"아직, 고요한"
get,"얻다, 사다, ~이 되다"
move,"이사하다, 감동시키다"
fly,"날다, 파리"
stand,"서다, 참다"
turn,"돌다, 회전, 차례"
keep,"지키다, 계속하다"
while,"~하는 동안, 잠시"
once,"한 번, 한때"
ask,"묻다, 요구하다"
hold,"잡다, 개최하다"
mind,"싫어하다, 마음"
pass,"합격하다, 지나가다"
SO,"매우, 그러므로"
left,"leave의 과거, p.p"
care,"돌봄, 걱정, 조심"
see,"만나다, 보다"
dish,"접시, 요리"
bright,"밝은, 영리한"
sign,"서명하다, 신호"
well,"건강한, 잘, 글쎄"
save,"절약하다, 저축하다"
order,"주문, 순서, 명령"
school,"학교, 수업"
film,"필름, 영화"
point,"요점, 가리키다"
pick,"따다, 고르다"
matter,"중요하다, 문제"
set,"놓다, 세트, 한 벌"
against,~에 반대하여
fat,"살찐, 지방"
state,"상태, 국가, 주"
stick,"막대기, 찌르다"
natural,"자연의, 타고난"
character,"성격, 인격, 특징"
grow,"성장하다, 재배하다"
appear,"~인 듯하다, 나타나다"
